Model,New T2I,AUC-PR,F1 Score
2025-02-04-11-39,0.0,0.0170736805587425,
2025-02-04-11-43,0.0,0.0157183023595138,
2025-02-04-11-48,0.0,0.0152472829542903,
2025-02-04-11-52,0.0,0.0177775253903681,
2025-02-04-11-57,0.0,0.017125598277182,
2025-02-04-12-01,0.0,0.0176347998737784,
2025-02-04-12-06,0.0,0.0178440098861311,
2025-02-04-12-11,0.0,0.014627758620318,
2025-02-04-12-14,0.0,0.0146112229957002,
2025-02-04-12-18,0.0571428571428571,0.0162721078723586,
2025-02-04-12-22,0.0,0.0178378353895477,
2025-02-04-12-27,0.0,0.0150373581355791,
2025-02-04-12-30,0.0,0.0175711372470307,
2025-02-04-12-34,0.0,0.0178414425535214,
2025-02-04-12-38,0.0,0.0167603185998212,
2025-02-04-12-43,0.0,0.0150992337472071,
2025-02-04-12-46,0.0,0.0173435316916587,
2025-02-04-12-50,0.0555555555555555,0.0163293704714156,
2025-02-04-12-54,0.0606060606060606,0.0168942844698618,
2025-02-04-12-58,0.0571428571428571,0.0163312397805033,
2025-02-04-13-03,0.0,0.0181385010938419,
2025-02-04-13-08,0.0,0.016027220416732,
2025-02-04-13-12,0.0,0.0151217283644784,
2025-02-04-13-17,0.064516129032258,0.015331120664169,
2025-02-04-13-21,0.0,0.0175418456164806,
2025-02-04-13-25,0.0,0.0164155278088763,
2025-02-04-13-29,0.0,0.0150264933287528,
2025-02-04-13-34,0.0919540229885057,0.0128754325108497,
2025-02-04-13-37,0.0909090909090909,0.0130647206736219,
2025-02-04-13-40,0.0666666666666666,0.0156738475230413,
2025-02-04-13-43,0.0925925925925925,0.0155991544049387,
2025-02-04-13-45,0.0,0.0162799695575788,
2025-02-04-13-48,0.0,0.0176219549232581,
