Model,New T2I,AUC-PR,F1 Score
2024-12-12-16-06,0.1409090909090909,0.0173507428065667,
2024-12-12-16-06,0.1470588235294117,0.0173507428065667,
2024-12-12-16-06,0.1351351351351351,0.0173507428065667,
2024-12-12-16-06,0.0975609756097561,0.0173507428065667,
2024-12-12-16-06,0.1818181818181818,0.0173507428065667,
2024-12-12-16-06,0.0769230769230769,0.0173507428065667,
2024-12-12-16-06,0.0,0.0173507428065667,
2024-12-12-16-06,0.0,0.0173507428065667,
2024-12-12-16-06,0.0,0.0173507428065667,
2024-12-12-16-07,0.0,0.0177347318355557,
2024-12-12-16-13,0.0,0.0161677641006063,
2024-12-12-16-16,0.0,0.0178375965793401,
2024-12-12-16-22,0.0,0.0177530867101833,
2024-12-12-16-28,0.0,0.0168421551311593,
2024-12-12-16-32,0.0,0.0156788837106973,
2024-12-12-16-36,0.0,0.017970133777641,
2024-12-12-16-40,0.0,0.0169591405826806,
2024-12-12-16-45,0.0,0.0181136552531724,
2024-12-12-16-50,0.0,0.0177330547168564,
2024-12-12-16-56,0.0,0.0178408722036695,
2024-12-12-17-03,0.0,0.0173834391133943,
2024-12-12-17-08,0.0,0.0180005725887579,
2024-12-12-17-13,0.0,0.0176091454508999,
2024-12-12-17-19,0.0,0.0177697609176582,
2024-12-12-17-25,0.0,0.0177954297980705,
2024-12-12-17-29,0.0,0.0181951960165394,
2024-12-12-17-34,0.0,0.0180657784223666,
2024-12-12-17-41,0.0,0.0208139811170304,
2024-12-12-17-47,0.0857142857142857,0.0120975328067903,
2024-12-12-17-50,0.0,0.017464582771307,
2024-12-12-17-55,0.0,0.0165319656892966,
2024-12-12-17-58,0.0,0.0173056645121603,
2024-12-12-18-02,0.0,0.0143021244420851,
2024-12-12-18-07,0.0,0.0164176290935853,
2024-12-12-18-11,0.0,0.0148090070059867,
2024-12-12-18-14,0.0,0.01771547300119,
2024-12-12-18-20,0.0,0.0174988004929494,
2024-12-12-18-24,0.0,0.0179586458039639,
2024-12-12-18-29,0.0,0.0177657070251723,
2024-12-12-18-34,0.0,0.0165498761936549,
2024-12-12-18-40,0.171875,0.0150867712092917,
2024-12-12-18-45,0.1724137931034483,0.0159389602101139,
2024-12-12-18-50,0.0,0.0176366686821817,
2024-12-12-18-56,0.0,0.0177198355060967,
2024-12-12-19-02,0.0,0.0169985159068527,
2024-12-12-19-07,0.0,0.017534097439098,
2024-12-12-19-12,0.0,0.0140689408327066,
2024-12-12-19-17,0.0,0.0151961328199822,
2024-12-12-19-22,0.0,0.0149551546863144,
2024-12-12-19-28,0.0,0.0141736420614935,
2024-12-12-19-34,0.0,0.0149853140081339,
